,Happiness Rank,Region,Freedom,Happiness Score,Country,Generosity,Family,Trust (Government Corruption),Health (Life Expectancy),Economy (GDP per Capita),Year
0,1,Western Europe,0.66557,7.587,Switzerland,0.29678,1.34951,0.41978,0.94143,1.39651,2015
1,2,Western Europe,0.62877,7.561,Iceland,0.4363,1.40223,0.14145,0.94784,1.30232,2015
2,3,Western Europe,0.64938,7.527,Denmark,0.34139,1.36058,0.48357,0.87464,1.32548,2015
3,4,Western Europe,0.66973,7.522,Norway,0.34699,1.33095,0.36503,0.88521,1.459,2015
4,5,North America,0.63297,7.427,Canada,0.45811,1.32261,0.32957,0.90563,1.32629,2015
5,6,Western Europe,0.64169,7.406,Finland,0.23351,1.31826,0.41372,0.88911,1.29025,2015
6,7,Western Europe,0.61576,7.378,Netherlands,0.4761,1.28017,0.31814,0.89284,1.32944,2015
7,8,Western Europe,0.6598,7.364,Sweden,0.36262,1.28907,0.43844,0.91087,1.33171,2015
8,9,Australia and New Zealand,0.63938,7.286,New Zealand,0.47501,1.31967,0.42922,0.90837,1.25018,2015
9,10,Australia and New Zealand,0.65124,7.284,Australia,0.43562,1.30923,0.35637,0.93156,1.33358,2015
10,11,Middle East and Northern Africa,0.41319,7.278,Israel,0.33172,1.22393,0.07785,0.91387,1.22857,2015
11,12,Latin America and Caribbean,0.63376,7.226,Costa Rica,0.25497,1.23788,0.10583,0.86027,0.95578,2015
12,13,Western Europe,0.62433,7.2,Austria,0.33088,1.29704,0.18676,0.89042,1.33723,2015
13,14,Latin America and Caribbean,0.48181,7.187,Mexico,0.14074,0.91451,0.21312,0.81444,1.02054,2015
14,15,North America,0.54604,7.119,United States,0.40105,1.24711,0.1589,0.86179,1.39451,2015
15,16,Latin America and Caribbean,0.49049,6.983,Brazil,0.14574,1.23287,0.17521,0.69702,0.98124,2015
16,17,Western Europe,0.61583,6.946,Luxembourg,0.28034,1.21963,0.37798,0.91894,1.56391,2015
17,18,Western Europe,0.61777,6.94,Ireland,0.45901,1.36948,0.28703,0.89533,1.33596,2015
18,19,Western Europe,0.5845,6.937,Belgium,0.2225,1.28566,0.2254,0.89667,1.30782,2015
19,20,Middle East and Northern Africa,0.64157,6.901,United Arab Emirates,0.26428,1.12575,0.38583,0.80925,1.42727,2015
20,21,Western Europe,0.59625,6.867,United Kingdom,0.51912,1.28548,0.32067,0.90943,1.26637,2015
21,22,Middle East and Northern Africa,0.63274,6.853,Oman,0.21542,1.08182,0.32524,0.76276,1.36011,2015
22,23,Latin America and Caribbean,0.42908,6.81,Venezuela,0.05841,1.25596,0.11069,0.72052,1.04424,2015
23,24,Southeastern Asia,0.54252,6.798,Singapore,0.31105,1.02,0.4921,1.02525,1.52186,2015
24,25,Latin America and Caribbean,0.5421,6.786,Panama,0.24434,1.1985,0.0927,0.79661,1.06353,2015
25,26,Western Europe,0.61477,6.75,Germany,0.28214,1.29937,0.21843,0.89186,1.32792,2015
26,27,Latin America and Caribbean,0.44132,6.67,Chile,0.33363,1.12447,0.12869,0.85857,1.10715,2015
27,28,Middle East and Northern Africa,0.6404,6.611,Qatar,0.32573,1.0786,0.52208,0.79733,1.69042,2015
28,29,Western Europe,0.55011,6.575,France,0.12332,1.26038,0.20646,0.94579,1.27778,2015
29,30,Latin America and Caribbean,0.44974,6.574,Argentina,0.11451,1.24823,0.08484,0.78723,1.05351,2015
